source,condition,true_class,predicted_class,count,row_pct
OCTDL-in-label,4,CNV,DRUSEN,2,0.28
OCTDL-in-label,4,CNV,NORMAL,3,0.42
OCTDL-in-label,4,CNV,deferred,18,2.51
OCTDL-in-label,4,DME,CNV,7,4.76
OCTDL-in-label,4,DME,DME,113,76.87
OCTDL-in-label,4,DME,DRUSEN,2,1.36
OCTDL-in-label,4,DME,NORMAL,0,0.0
OCTDL-in-label,4,DME,deferred,25,17.01
OCTDL-in-label,4,DRUSEN,CNV,43,16.17
OCTDL-in-label,4,DRUSEN,DME,1,0.38
OCTDL-in-label,4,DRUSEN,DRUSEN,168,63.16
OCTDL-in-label,4,DRUSEN,NORMAL,10,3.76
OCTDL-in-label,4,DRUSEN,deferred,44,16.54
OCTDL-in-label,4,NORMAL,CNV,2,0.6
OCTDL-in-label,4,NORMAL,DME,2,0.6
OCTDL-in-label,4,NORMAL,DRUSEN,3,0.9
OCTDL-in-label,4,NORMAL,NORMAL,295,88.86
OCTDL-in-label,4,NORMAL,deferred,30,9.04
OCTDL-in-label,5,CNV,CNV,689,96.09
OCTDL-in-label,5,CNV,DME,3,0.42
OCTDL-in-label,5,CNV,DRUSEN,1,0.14
OCTDL-in-label,5,CNV,NORMAL,1,0.14
OCTDL-in-label,5,CNV,deferred,23,3.21
OCTDL-in-label,5,DME,CNV,8,5.44
OCTDL-in-label,5,DME,DME,108,73.47
OCTDL-in-label,5,DME,DRUSEN,1,0.68
OCTDL-in-label,5,DME,NORMAL,0,0.0
OCTDL-in-label,5,DME,deferred,30,20.41
OCTDL-in-label,5,DRUSEN,CNV,50,18.8
OCTDL-in-label,5,DRUSEN,DME,0,0.0
OCTDL-in-label,5,DRUSEN,DRUSEN,125,46.99
OCTDL-in-label,5,DRUSEN,NORMAL,11,4.14
OCTDL-in-label,5,DRUSEN,deferred,80,30.08
OCTDL-in-label,5,NORMAL,CNV,0,0.0
OCTDL-in-label,5,NORMAL,DME,1,0.3
OCTDL-in-label,5,NORMAL,DRUSEN,0,0.0
OCTDL-in-label,5,NORMAL,NORMAL,299,90.06
OCTDL-in-label,5,NORMAL,deferred,32,9.64
OCTDL-in-label,B2,CNV,CNV,666,92.89
OCTDL-in-label,B2,CNV,DME,0,0.0
OCTDL-in-label,B2,CNV,DRUSEN,0,0.0
OCTDL-in-label,B2,CNV,NORMAL,1,0.14
OCTDL-in-label,B2,CNV,deferred,50,6.97
OCTDL-in-label,B2,DME,CNV,4,2.72
OCTDL-in-label,B2,DME,DME,42,28.57
OCTDL-in-label,B2,DME,DRUSEN,0,0.0
OCTDL-in-label,B2,DME,NORMAL,0,0.0
OCTDL-in-label,B2,DME,deferred,101,68.71
OCTDL-in-label,B2,DRUSEN,CNV,36,13.53
OCTDL-in-label,B2,DRUSEN,DME,0,0.0
OCTDL-in-label,B2,DRUSEN,DRUSEN,82,30.83
OCTDL-in-label,B2,DRUSEN,NORMAL,9,3.38
OCTDL-in-label,B2,DRUSEN,deferred,139,52.26
OCTDL-in-label,B2,NORMAL,CNV,0,0.0
OCTDL-in-label,B2,NORMAL,DME,0,0.0
OCTDL-in-label,B2,NORMAL,DRUSEN,0,0.0
OCTDL-in-label,B2,NORMAL,NORMAL,265,79.82
OCTDL-in-label,B2,NORMAL,deferred,67,20.18
